Preferential,ProductAffected_2,FtaName,Roo_trans,Roo_packaging,Coo_retention,FtaCode,RooText_2,Coo_pen,ProductAffected_0,Coo_valid,productCode,ProductAffected_1,FtaStatusDesc,RooText_4,ProductAffected_4,Roo_wo,RooCode_1,partner,Roo_sets,MFN,Roo_demin,Coo_comp,Roo_outward,RooText_1,RooCode_0,Roo_rvcformula,Coo_err,Roo_accum,Roo_roll,rank,Roo_exhibitions,Coo_ver,FtaStatusDate,Coo_sup,ProductAffected_3,Coo_coo,Coo_app,RooText_3,RooCode_3,FtaId,FtaType,FtaScope,reporter,Roo_mo,Coo_tpi,Roo_indir,RooText_0,Coo_adv,Roo_draw,Roo_fungible,Coo_approved,Roo_terr,Roo_accessories,Coo_refund,RooCode_4,RooCode_2,Coo_exmptcoo
0%,,"Regional group, ECOWAS",not included,included,not provided,ITC00663,,not provided,,6 months,8703900000,,IN FORCE,,,provided,,270,included,20%,not included,provided,not included,,CTH or RVC 30%,build down,not provided,diagonal,not included,2,not included,not provided,24.07.1993,not provided,,authorized body,provided,,,646,Free trade agreement,"Plurilateral, Country-Country",204,provided,not provided,not included,"For the purpose of this Protocol, the following operations and processes shall be considered as sufficient to support a claim of origin from a Member State: Where 1) goods are not wholly produced in Member States and where their production requires the exclusive use of materials which are to be classified under a different tariff sub-heading from that of the product; The above rule shall be accompanied by a list of exemptions mentioning the cases where the change in the sub-heading is not a determining factor, or imposing additional conditions. The list shall be established in by a Regulation of the Council of Ministers. Or 2) goods are not wholly produced in Member States and where their production requires the use of materials which have received a value-added of at least 30% of the ex-factory price of the finished goods.",not provided,included,not included,not included,not included,included,not included,,,included (for certain goods)
,,AANZFTA,included,included,3 years,ITC00202,,provided,,12 months,8703900000,,IN FORCE,,,,,608,not included,,included (10%),not provided,not included,,RVC 40%,build up / build down,provided,diagonal,not included,3,not included,Indirect,01.01.2010,,,authorized body,provided,,,196,Free trade agreement,"Plurilateral, Group-Group",036,,provided,included,RVC(40),provided,not included,materials only,not included,not included,included,within 12 months,,,included (less than US$200)
,,,,,,,,,,,8703900000,,,,,,,624,,,,,,,,,,,,1,,,,,,,,,,145,,,384,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,418,,,,,,,,,,,,1,,,,,,,,,,692,,,096,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,716,,,,,,,,,,,,1,,,,,,,,,,643,,,231,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,558,,,,,,,,,,,,5,,,,,,,,,,242,,,340,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,740,,,,,,,,,,,,1,,,,,,,,,,269,,,500,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,140,,,,,,,,,,,,2,,,,,,,,,,147,,,120,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,670,,,,,,,,,,,,3,,,,,,,,,,141,,,028,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,458,,,,,,,,,,,,1,,,,,,,,,,103,,,410,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,834,,,,,,,,,,,,1,,,,,,,,,,853,,,140,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,768,,,,,,,,,,,,3,,,,,,,,,,853,,,516,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,579,,,,,,,,,,,,1,,,,,,,,,,352,,,352,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,757,,,,,,,,,,,,4,,,,,,,,,,334,,,438,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,740,,,,,,,,,,,,1,,,,,,,,,,92,,,388,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,417,,,,,,,,,,,,3,,,,,,,,,,896,,,112,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,748,,,,,,,,,,,,2,,,,,,,,,,853,,,710,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,388,,,,,,,,,,,,2,,,,,,,,,,963,,,084,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,776,,,,,,,,,,,,2,,,,,,,,,,148,,,598,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,384,,,,,,,,,,,,1,,,,,,,,,,853,,,108,,,,,,,,,,,,,,
,,RCEP,included,included,3 years,ITC00106,,provided,,1 year,8703900000,,IN FORCE,,,provided,,704,not included,,included (10%),not provided,not included,,RVC 40%,build up / build down,provided,diagonal,included,5,not included,Combined,01.01.2022,provided,,authorized body,provided,,,103,Free trade agreement,"Plurilateral, Country-Country",702,provided,provided,included,RVC40,within 90 days,not included,materials & final goods,included,not included,included,within 1 year,,,included (less than US$200)
,,,,,,,,,,,8703900000,,,,,,,458,,,,,,,,,,,,3,,,,,,,,,,103,,,156,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,566,,,,,,,,,,,,1,,,,,,,,,,145,,,288,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,500,,,,,,,,,,,,2,,,,,,,,,,270,,,084,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,184,,,,,,,,,,,,1,,,,,,,,,,669,,,090,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,591,,,,,,,,,,,,1,,,,,,,,,,242,,,558,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,780,,,,,,,,,,,,1,,,,,,,,,,269,,,740,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,554,,,,,,,,,,,,4,,,,,,,,,,103,,,036,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,918,,,,,,,,,,,,3,,,,,,,,,,148,,,583,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,776,,,,,,,,,,,,1,,,,,,,,,,148,,,585,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,854,,,,,,,,,,,,2,,,,,,,,,,145,,,466,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,508,,,,,,,,,,,,1,,,,,,,,,,853,,,072,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,854,,,,,,,,,,,,1,,,,,,,,,,646,,,204,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,858,,,,,,,,,,,,2,,,,,,,,,,611,,,032,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,800,,,,,,,,,,,,2,,,,,,,,,,853,,,466,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,748,,,,,,,,,,,,1,,,,,,,,,,853,,,262,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,748,,,,,,,,,,,,1,,,,,,,,,,657,,,480,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,702,,,,,,,,,,,,5,,,,,,,,,,692,,,116,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,554,,,,,,,,,,,,3,,,,,,,,,,474,,,458,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,044,,,,,,,,,,,,2,,,,,,,,,,18,,,028,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,834,,,,,,,,,,,,1,,,,,,,,,,644,,,108,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,795,,,,,,,,,,,,1,,,,,,,,,,1112,,,268,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,748,,,,,,,,,,,,2,,,,,,,,,,351,,,426,,,,,,,,,,,,,,
0%,,"Regional group, ECOWAS",not included,included,not provided,ITC00663,,not provided,,6 months,8703900000,,IN FORCE,,,provided,,768,included,20%,not included,provided,not included,,CTH or RVC 30%,build down,not provided,diagonal,not included,2,not included,not provided,24.07.1993,not provided,,authorized body,provided,,,646,Free trade agreement,"Plurilateral, Country-Country",694,provided,not provided,not included,"For the purpose of this Protocol, the following operations and processes shall be considered as sufficient to support a claim of origin from a Member State: Where 1) goods are not wholly produced in Member States and where their production requires the exclusive use of materials which are to be classified under a different tariff sub-heading from that of the product; The above rule shall be accompanied by a list of exemptions mentioning the cases where the change in the sub-heading is not a determining factor, or imposing additional conditions. The list shall be established in by a Regulation of the Council of Ministers. Or 2) goods are not wholly produced in Member States and where their production requires the use of materials which have received a value-added of at least 30% of the ex-factory price of the finished goods.",not provided,included,not included,not included,not included,included,not included,,,included (for certain goods)
,,,,,,,,,,,8703900000,,,,,,,643,,,,,,,,,,,,1,,,,,,,,,,784,,,398,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,918,,,,,,,,,,,,1,,,,,,,,,,147,,,140,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,328,,,,,,,,,,,,1,,,,,,,,,,640,,,308,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,458,,,,,,,,,,,,1,,,,,,,,,,692,,,104,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,728,,,,,,,,,,,,1,,,,,,,,,,853,,,226,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,308,,,,,,,,,,,,1,,,,,,,,,,270,,,028,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,516,,,,,,,,,,,,1,,,,,,,,,,643,,,404,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,430,,,,,,,,,,,,1,,,,,,,,,,145,,,132,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,740,,,,,,,,,,,,3,,,,,,,,,,141,,,332,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,558,,,,,,,,,,,,2,,,,,,,,,,245,,,340,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,788,,,,,,,,,,,,2,,,,,,,,,,184,,,422,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,566,,,,,,,,,,,,3,,,,,,,,,,853,,,454,,,,,,,,,,,,,,
,,"Regional group, WAEMU",not included,not included,not provided,ITC00677,,not provided,,6 months,8703900000,,IN FORCE,,,provided,,624,not included,20%,not included,not provided,not included,,CTH or RVC 30%,build-down,not provided,not included,not included,2,not included,provided,01.01.2000,not provided,,authorized body,not provided,,,659,Customs union,"Plurilateral, Country-Country",204,provided,not provided,not included,"Sont considérés, comme ayant fait l'objet d'une ouvraison ou d'une transformation suffisante, les produits obtenus à partir de matières premières partiellement ou entièrement originaires de pays tiers à condition que cette transformation entraîne : a) soit un changement de classification tarifaire dans l'un des quatre premiers chiffres de la Nomenclature Tarifaire et Statistique de l'UEMOA ; une liste d'exceptions mentionnant les cas où le changement de positon tarifaire n'est pas déterminant ou imposant des conditions supplémentaires, sera établie par règlement pris en Conseil des Ministres ; b) soit une valeur ajoutée communautaire supérieure ou égale à 30% du prix de revient ex-usine hors taxes de ces produits telle que définie à l'article premier ci-dessus.",not provided,not included,not included,not included,not included,not included,not included,,,included (less than 200 000 F CFA)
,,,,,,,,,,,8703900000,,,,,,,854,,,,,,,,,,,,3,,,,,,,,,,853,,,710,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,798,,,,,,,,,,,,4,,,,,,,,,,877,,,090,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,804,,,,,,,,,,,,1,,,,,,,,,,642,,,398,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,232,,,,,,,,,,,,1,,,,,,,,,,643,,,108,,,,,,,,,,,,,,
,,"FTA, China-Peru",included,included,3 years,ITC00296,,provided,,1 year,8703900000,,IN FORCE,,,provided,,604,included (RVC 85%),,included (10%),provided,not included,,CTH and RVC 50%,build down,not provided,bilateral,not included,3,included,provided,01.03.2010,provided,,authorized body,provided,,,290,Free trade agreement,"Bilateral, Country-Country",156,provided,not provided,included,"A change from any other heading, provided there is a regional value content of not less than 50 percent.",within 150 days,not included,materials & final goods,not included,not included,included,within 3 months,,,included (less than US$600)
,,"Regional group, ASEAN",included,included,3 years,ITC00654,,provided,,12 months,8703900000,,IN FORCE,,,provided,,360,not included,,included (10%),not provided,not included,,RVC 40%,build up / build down,provided,diagonal,not included,2,included,Combined,01.01.1999,provided,,authorized body,provided,,,637,Free trade agreement,"Plurilateral, Country-Country",116,provided,provided,included,A regional value content of not less than 40 percent,provided,allowed,materials only,not included,not included,included,within 1 year,,,included (less than US$200)
,,,,,,,,,,,8703900000,,,,,,,710,,,,,,,,,,,,3,,,,,,,,,,853,,,266,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,584,,,,,,,,,,,,1,,,,,,,,,,877,,,520,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,438,,,,,,,,,,,,1,,,,,,,,,,327,,,152,,,,,,,,,,,,,,
,,SPARTECA,not included,not included,not provided,ITC00688,,not provided,,not provided,8703900000,,IN FORCE,,,,,090,not included,,not included,not provided,not included,,RVC 50%,build up,not provided,not included,not included,2,not included,not provided,01.01.1981,,,not provided,not provided,,,669,Partial scope agreement,"Plurilateral, Country-Country",036,,not provided,not included,"1 Goods shall be treated by the Government of Australia as originating in the territory of a Forum Island country if these goods are: (a) the unmanufactured raw products of a Forum Island country; or (b) manufactured goods, in relation to which: (i) the process last performed in manufacture of the goods was performed in a Forum Island country; and (ii) not less than 50 percent of the factory or works cost of the goods is represented by the value of labour or materials, or both, of: (a) a Forum Island country; or (b) a Forum Island country and one or more other Forum Island countries; or (c) one or more Forum Island countries and Australia.",not provided,not included,not included,not included,not included,not included,not included,,,not included
,,,,,,,,,,,8703900000,,,,,,,478,,,,,,,,,,,,2,,,,,,,,,,651,,,400,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,116,,,,,,,,,,,,1,,,,,,,,,,637,,,104,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,706,,,,,,,,,,,,1,,,,,,,,,,853,,,262,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,270,,,,,,,,,,,,3,,,,,,,,,,853,,,262,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,450,,,,,,,,,,,,1,,,,,,,,,,146,,,231,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,646,,,,,,,,,,,,2,,,,,,,,,,853,,,262,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,332,,,,,,,,,,,,1,,,,,,,,,,269,,,308,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,430,,,,,,,,,,,,1,,,,,,,,,,853,,,270,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,716,,,,,,,,,,,,3,,,,,,,,,,853,,,108,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,438,,,,,,,,,,,,2,,,,,,,,,,767,,,268,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,702,,,,,,,,,,,,4,,,,,,,,,,103,,,458,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,562,,,,,,,,,,,,3,,,,,,,,,,145,,,384,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,764,,,,,,,,,,,,1,,,,,,,,,,637,,,704,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,426,,,,,,,,,,,,2,,,,,,,,,,149,,,024,,,,,,,,,,,,,,
,,"FTA, Belarus-Serbia",included,included,3 years,ITC00230,,provided,,12 months,8703900000,,IN FORCE,,,provided,,688,not included,,not included,not provided,not included,,RVC 50%,included,not provided,cross-cumulation,not included,2,included,provided,31.03.2009,not provided,,authorized body (self-declaration allowed for consignments below USD 5000),not provided,,,224,Free trade agreement,"Bilateral, Country-Country",112,provided,provided,included,1. The goods are considered to have underwent sufficient manufacturing / processing in one of the States of the Contracting Parties if the goods underwent manufacturing / processing and the value of the materials of foreign origin used in this process does not exceed 50 % of the value of the exported goods.,not provided,not included,not included,not included,not included,included,included,,,not included
,,,,,,,,,,,8703900000,,,,,,,780,,,,,,,,,,,,2,,,,,,,,,,141,,,214,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,818,,,,,,,,,,,,1,,,,,,,,,,184,,,400,,,,,,,,,,,,,,
,,AAP.A25TM 31: CARICOM-Colombia,included,not included,2 years,ITC00018,,not provided,,180 days,8703900000,,IN FORCE,,,provided,,332,not included,35%,not included,not provided,not included,,CTH or RVC 40%,build down,not provided,diagonal,not included,2,not included,provided,01.01.1997,not provided,,authorized body,not provided,,,18,Partial scope agreement,"Plurilateral, Country-Group",170,provided,not provided,not included,"e) Las mercancías que incorporen materias o productos de terceros países,producidas en el territorio de las Partes, que cumplan según lo establecido enel presente Reglamento con:i) un cambio de clasificación arancelaria dado como criterio general conun cambio de partida arancelaria;ii) el valor CIF de los materiales o productos originarios de tercerospaíses no exceda del 60 por ciento del valor FOB de las mercancíasproducidas o el porcentaje de contenido regional no sea inferior del 40por ciento del valor F.O.B. de las mercancías producidas; oiii) un requisito específico de origen a nivel de producto fijado por elConsejo Conjunto establecido en el Artículo 2 de este Acuerdo.",not provided,not included,not included,not included,not included,not included,not included,,,not included
,,,,,,,,,,,8703900000,,,,,,,242,,,,,,,,,,,,1,,,,,,,,,,148,,,090,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,670,,,,,,,,,,,,1,,,,,,,,,,13,,,052,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,410,,,,,,,,,,,,3,,,,,,,,,,103,,,104,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,732,,,,,,,,,,,,2,,,,,,,,,,853,,,478,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,332,,,,,,,,,,,,2,,,,,,,,,,13,,,084,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,736,,,,,,,,,,,,2,,,,,,,,,,853,,,430,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,704,,,,,,,,,,,,2,,,,,,,,,,103,,,036,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,757,,,,,,,,,,,,4,,,,,,,,,,767,,,352,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,670,,,,,,,,,,,,2,,,,,,,,,,18,,,332,,,,,,,,,,,,,,
,,Israel-Jordan,included,included,3 years,ITC00583,,provided,,4 months,8703900000,,IN FORCE,,,provided,,400,included (RVC 85%),,included (10%),provided,included,,RVC 60%,import content,provided,cross-cumulation,included,2,included,Indirect,23.09.2005,provided,,authorized body (self-certification if value < EUR 6000),not provided,,,573,Partial scope agreement,"Bilateral, Country-Country",376,provided,not provided,included,Manufacture in which the value of all the materials used does not exceed 40 % of the ex- works price of the product,not provided,prohibition,materials only,included,included,included,included,,,included (less than EUR500)
,,,,,,,,,,,8703900000,,,,,,,740,,,,,,,,,,,,1,,,,,,,,,,963,,,662,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,624,,,,,,,,,,,,3,,,,,,,,,,853,,,266,,,,,,,,,,,,,,
,,"FTA, Armenia-Kyrgyzstan",included,included,3 years,ITC01146,,not provided,,12 months,8703900000,,IN FORCE,,,provided,,417,not included,,not included,not provided,not included,,CTH,included,not provided,diagonal,included,2,not included,provided,27.10.1995,not provided,,authorized body,not provided,,,1114,Free trade agreement,"Bilateral, Country-Country",051,provided,prohibited,included,The basic criterion of substantial processing/transformation is a change in tariff heading under the HS on the level of at least one of the first 4 digits,not provided,not included,not included,not included,not included,included,within 1 year,,,not included
,,,,,,,,,,,8703900000,,,,,,,764,,,,,,,,,,,,1,,,,,,,,,,196,,,360,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,520,,,,,,,,,,,,4,,,,,,,,,,877,,,296,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,352,,,,,,,,,,,,1,,,,,,,,,,854,,,188,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,732,,,,,,,,,,,,1,,,,,,,,,,853,,,508,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,504,,,,,,,,,,,,1,,,,,,,,,,853,,,270,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,591,,,,,,,,,,,,2,,,,,,,,,,855,,,352,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,784,,,,,,,,,,,,1,,,,,,,,,,649,,,512,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,392,,,,,,,,,,,,4,,,,,,,,,,103,,,104,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,757,,,,,,,,,,,,1,,,,,,,,,,331,,,682,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,918,,,,,,,,,,,,1,,,,,,,,,,141,,,028,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,688,,,,,,,,,,,,2,,,,,,,,,,896,,,417,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,324,,,,,,,,,,,,3,,,,,,,,,,853,,,226,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,212,,,,,,,,,,,,2,,,,,,,,,,18,,,044,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,694,,,,,,,,,,,,3,,,,,,,,,,145,,,562,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,894,,,,,,,,,,,,2,,,,,,,,,,853,,,108,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,608,,,,,,,,,,,,5,,,,,,,,,,103,,,156,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,583,,,,,,,,,,,,1,,,,,,,,,,669,,,036,,,,,,,,,,,,,,
,,,,,,,,,,,8703900000,,,,,,,508,,,,,,,,,,,,2,,,,,,,,,,853,,,288,,,,,,,,,,,,,,
,,"Regional group, League Of Arab States",included,included,3 years,ITC00668,,provided,,6 months,8703900000,,IN FORCE,,,provided,,788,included,,included (10%),not provided,not included,,RVC 40%,build up / build down,provided,diagonal,included,1,included,Indirect,01.01.1998,provided,,authorized body,provided,,,651,Free trade agreement,"Plurilateral, Country-Country",422,provided,provided,included,"For the purposes of implementing the Arab rules of origins, without prejudice to Rule 5, the following goods and services shall be considered of national origin: a- Products acquired completely from any party-state in accordance with the provisions of Rule (7). b- Goods manufactured by any party-state, which includes input(s) from other party-state, and the added value of these good shall not be less than 40 percent according to the provisions of Rule (3), taking into consideration the provisions of Rule (4).",not provided,prohibition,not included,not included,included,included,included,,,included (less than USD 500)
