ProductAffected_2,ProductAffected_1,Roo_demin,Coo_valid,FtaType,RooCode_3,Roo_draw,Coo_ver,Roo_packaging,Coo_refund,FtaStatusDesc,Coo_coo,FtaName,Roo_outward,Roo_exhibitions,Coo_err,RooText_0,Coo_retention,FtaCode,Coo_tpi,Roo_trans,Roo_accessories,Roo_fungible,Roo_sets,FtaStatusDate,Coo_exmptcoo,RooCode_2,RooCode_4,Roo_accum,Roo_indir,RooText_3,ProductAffected_4,RooCode_1,ProductAffected_0,Coo_comp,RooText_1,Coo_pen,Coo_app,RooText_2,Roo_mo,Roo_rvcformula,FtaId,RooCode_0,Roo_wo,Roo_roll,RooText_4,Coo_sup,MFN,Coo_approved,Preferential,Coo_adv,ProductAffected_3,Roo_terr,FtaScope
,,not included,180 days,Partial scope agreement,,not included,provided,not included,not included,IN FORCE,authorized body,AAP.A25TM 29: Colombia-Panama,not included,not included,not provided,"f) Las mercancías que incorporen materias o productos de terceros países, producidas en el territorio de las Partes, que cumplan según lo establecido en el presente Reglamento con: I) Un cambio de clasificación arancelaria dado como criterio general con un cambio de partida arancelaria: II) Un porcentaje de contenido regional del 40 por ciento; o III) Un requisito específico de origen a nivel de producto, fijado por el Consejo de Administración establecido en el artículo 35 del presente Acuerdo. El porcentaje de contenido regional se aplicará para aquellos productos a los que no se les han fijado requisito específico de origen que resulten de un proceso de ensamble o montaje, o para aquellos productos que no sufran un cambio de clasificación arancelaria debido a que la partida para el bien sea la misma tanto para el bien como para sus partes y los describa específicamente, o la subpartida arancelaria sea la misma tanto para el bien como para sus partes y los describa específicamente.",not specified,ITC00017,not provided,included,not included,not included,not included,18.01.1995,not included,,,bilateral,not included,,,,,not provided,,not provided,not provided,,provided,build down,17,CTH or RVC 40%,provided,not included,,not provided,,not included,,not provided,,included,"Bilateral, Country-Country"
,,not included,180 days,Partial scope agreement,,not included,provided,not included,not included,IN FORCE,authorized body,AAP.A25TM 31: CARICOM-Colombia,not included,not included,not provided,"e) Las mercancías que incorporen materias o productos de terceros países,producidas en el territorio de las Partes, que cumplan según lo establecido enel presente Reglamento con:i) un cambio de clasificación arancelaria dado como criterio general conun cambio de partida arancelaria;ii) el valor CIF de los materiales o productos originarios de tercerospaíses no exceda del 60 por ciento del valor FOB de las mercancíasproducidas o el porcentaje de contenido regional no sea inferior del 40por ciento del valor F.O.B. de las mercancías producidas; oiii) un requisito específico de origen a nivel de producto fijado por elConsejo Conjunto establecido en el Artículo 2 de este Acuerdo.",2 years,ITC00018,not provided,included,not included,not included,not included,01.01.1997,not included,,,diagonal,not included,,,,,not provided,,not provided,not provided,,provided,build down,18,CTH or RVC 40%,provided,not included,,not provided,,not included,,not provided,,not included,"Plurilateral, Country-Group"
,,not included,180 days,Partial scope agreement,,not included,Indirect,not included,not included,IN FORCE,authorized body,AAP.A25TM 37: Guatemala-Mexico (Natural Gas),not included,not included,not provided,"c) Las mercancías elaboradas en sus territorios utilizando materiales de países no participantes en el acuerdo, siempre que resulten de un proceso de transformación realizado en alguno de los países participantes que les confiera una nueva individualidad caracterizada por el hecho de quedar clasificadas en la NALADISA en partida diferente a la de dichos materiales.d) Las mercancías que resulten de operaciones de ensamble o montaje, realizadas en el territorio de un país participante utilizando materiales originarios de los países participantes del acuerdo y de terceros países, cuando el valor CIF puerto de destino o CIF puerto marítimo de los materiales originarios de terceros países no exceda del 50 (cincuenta) por ciento del valor FOB de exportación de tales mercancías.",not provided,ITC00020,provided,included,not included,not included,not included,19.03.2001,not included,,,bilateral,not included,,,,,not provided,,not provided,not provided,,provided,included,20,CTH or RVC 50%,provided,not included,,not provided,15%,not included,0%,not provided,,included,"Bilateral, Country-Country"
,,not included,180 days,Partial scope agreement,,not included,Indirect,not included,not included,IN FORCE,authorized body,AAP.CE 13: Argentina-Paraguay,not included,not included,not provided,"c) Las mercancías elaboradas en sus territorios utilizando materiales de países no participantes en el acuerdo, siempre que resulten de un proceso de transformación realizado en alguno de los países participantes que les confiera una nueva individualidad caracterizada por el hecho de quedar clasificadas en la NALADISA en partida diferente a la de dichos materiales.d) Las mercancías que resulten de operaciones de ensamble o montaje, realizadas en el territorio de un país participante utilizando materiales originarios de los países participantes del acuerdo y de terceros países, cuando el valor CIF puerto de destino o CIF puerto marítimo de los materiales originarios de terceros países no exceda del 50 (cincuenta) por ciento del valor FOB de exportación de tales mercancías.",not provided,ITC00025,provided,included,not included,not included,not included,28.11.1989,not included,,,bilateral,not included,,,,,not provided,,not provided,not provided,,provided,included,25,CTH or RVC 50%,provided,not included,,not provided,,not included,,not provided,,included,"Bilateral, Country-Country"
,,not included,180 days,Partial scope agreement,,not included,Indirect,not included,not included,IN FORCE,authorized body,AAP.CE 22: Bolivia-Chile,not included,not included,not provided,"c) Las mercancías elaboradas en sus territorios utilizando materiales de países no participantes en el acuerdo, siempre que resulten de un proceso de transformación realizado en alguno de los países participantes que les confiera una nueva individualidad caracterizada por el hecho de quedar clasificadas en la NALADISA en partida diferente a la de dichos materiales.d) Las mercancías que resulten de operaciones de ensamble o montaje, realizadas en el territorio de un país participante utilizando materiales originarios de los países participantes del acuerdo y de terceros países, cuando el valor CIF puerto de destino o CIF puerto marítimo de los materiales originarios de terceros países no exceda del 50 (cincuenta) por ciento del valor FOB de exportación de tales mercancías.",not provided,ITC00027,provided,included,not included,not included,not included,01.07.1993,not included,,,bilateral,not included,,,,,not provided,,not provided,not provided,,provided,included,27,CTH or RVC 50%,provided,not included,,not provided,,not included,,not provided,,included,"Bilateral, Country-Country"
,,not included,180 days,Partial scope agreement,,not included,Indirect,not included,not included,IN FORCE,authorized body,AAP.CE 23: Chile-Venezuela,not included,not included,not provided,"c) Las mercancías elaboradas en sus territorios utilizando materiales de países no participantes en el acuerdo, siempre que resulten de un proceso de transformación realizado en alguno de los países participantes que les confiera una nueva individualidad caracterizada por el hecho de quedar clasificadas en la NALADISA en partida diferente a la de dichos materiales.d) Las mercancías que resulten de operaciones de ensamble o montaje, realizadas en el territorio de un país participante utilizando materiales originarios de los países participantes del acuerdo y de terceros países, cuando el valor CIF puerto de destino o CIF puerto marítimo de los materiales originarios de terceros países no exceda del 50 (cincuenta) por ciento del valor FOB de exportación de tales mercancías.",not provided,ITC00028,provided,included,not included,not included,not included,01.07.1993,not included,,,bilateral,not included,,,,,not provided,,not provided,not provided,,provided,included,28,CTH or RVC 50%,provided,not included,,not provided,,not included,,not provided,,not included,"Bilateral, Country-Country"
,,not included,180 days,Free trade agreement,,not included,Indirect,included,not included,IN FORCE,authorized body,AAP.CE 35: MERCOSUR-Chile,not included,not included,not provided,"C.- Cumplirán con el requisito de valor agregado en los países signatarios del 60%, a excepción de los que se establece en el Apéndice Nº 4.",2 years,ITC00031,provided,included,not included,not included,not included,12.08.2012,not included,,,diagonal,not included,,,,,not provided,,provided,not provided,,not provided,included,31,RVC 60%,provided,not included,,not provided,,included,,within 60 days,,included,"Plurilateral, Country-Group"
,,not included,180 days,Free trade agreement,,not included,Indirect,not included,not included,IN FORCE,authorized body,AAP.CE 36: MERCOSUR-Bolivia,not included,not included,not provided,Cumplirán con el requisito de contenido de valor agregado en los países signatarios del sesenta por ciento (60%,2 years,ITC00032,provided,included,not included,not included,not included,28.02.1997,not included,,,diagonal and cross-cumulation,not included,,,,,not provided,,provided,not provided,,provided,included,32,RVC 60%,provided,not included,,not provided,,not included,,not provided,,not included,"Plurilateral, Country-Group"
,,not included,180 days,Partial scope agreement,,not included,provided,included,not included,IN FORCE,authorized body,AAP.CE 40: Cuba-Venezuela,not included,not included,provided,"4. Las mercancias elaboradas utilizando materiales no originarios, que cumplan con una de las siguientes condiciónes:a) que resulten de un proceso de transformación, distinto al ensamblaje, realizado en el territorio de cualquiera de las Partes, que los confiera una nueva individualidad; esa nueva individualidad implica que, en el Sistema Armonizado, las mercancias se clasifiquen en una partida arancelaria diferente a aquellas en las que se clasifiquen cada uno de los materiales no originarios.b) que el valor CIF de los materiales no originarios no exceda el cincuenta por ciento (50%) del valor FOB de exportación de la mercancia y en su elaboración se utilicen materiales originarios de las Partes, cuando no cumplan con lo establecido en el literal anterior porque el proceso de transformación, distinto al ensamblaje, realizado en el territorio de cualquiera de las Pares no implique un cambio de partida arancelariac) que resulten de un proceso de ensamblaje realizado en el territorio de cualquiera de las Partes, siempre que en su elaboración se utilicen materiales originarios y el valor CIF de los materiales no originarios no exceda el cincuenta por ciento (50%) del valor FOB de exportación de la mercancia.",5 years,ITC00035,provided,included,not included,not included,included (RVC 85%),28.08.2001,not included,,,bilateral,included,,,,,provided,,provided,not provided,,,not included,35,CTH or RVC 50%,,included,,,,not included,,not provided,,included,"Bilateral, Country-Country"
,,included (15%),1 year,Partial scope agreement,,not included,Direct,included,within un year,IN FORCE,authorized body,AAP.CE 42: Chile-Cuba,not included,included,provided,"Sin perjuicio de las demás disposiciones del presente Anexo, serán consideradas originarias: c) las mercancías elaboradas utilizando materiales no originarios, siempre que resulten de un proceso de producción, realizado enteramente en el territorio de una de las Partes, de tal forma que las mercancías se clasifiquen en una Partida arancelaria diferente a las de dichos materiales; d) en el caso de que no se pueda cumplir con lo establecido en el párrafo anterior, porque el proceso de producción no implica un Cambio de Partida Arancelaria para todos los materiales no originarios, bastará que el valor CIF de los materiales no originarios no excedan el 50% del valor FOB de exportación de la mercancía final; y",3 years,ITC00036,provided,included,included,materials & final goods,included (RVC 85%),28.08.2008,not included,,,bilateral,included,,,,,provided,,provided,not provided,,provided,not included,36,CTH or RVC 50%,provided,included,,provided,,not included,,not provided,,included,"Bilateral, Country-Country"
,,not included,180 days,Partial scope agreement,,not included,Indirect,not included,not included,IN FORCE,authorized body,AAP.CE 44: Cuba-Uruguay,not included,not included,not provided,"c) Las mercancías elaboradas en sus territorios utilizando materiales de países no participantes en el acuerdo, siempre que resulten de un proceso de transformación realizado en alguno de los países participantes que les confiera una nueva individualidad caracterizada por el hecho de quedar clasificadas en la NALADISA en partida diferente a la de dichos materiales.d) Las mercancías que resulten de operaciones de ensamble o montaje, realizadas en el territorio de un país participante utilizando materiales originarios de los países participantes del acuerdo y de terceros países, cuando el valor CIF puerto de destino o CIF puerto marítimo de los materiales originarios de terceros países no exceda del 50 (cincuenta) por ciento del valor FOB de exportación de tales mercancías.",not provided,ITC00038,provided,included,not included,not included,not included,07.02.2000,not included,,,bilateral,not included,,,,,not provided,,not provided,not provided,,provided,included,38,CTH or RVC 50%,provided,not included,,not provided,,not included,,not provided,,included,"Bilateral, Country-Country"
,,included (15% (Ecuador) / 10% (Cuba)),180 days,Partial scope agreement,,not included,Direct,included,included,IN FORCE,authorized body,AAP.CE 46: Cuba-Ecuador,not included,included,provided,"b) las mercancias que sean producidas enteramente en el territorio de una o ambas Partes, a partir exclusivamente de materiales que califican como originarios de conformidad con el presente Capitulo; c) except° le dispuesto en el literal 1) las mercancias elaboradas utilizando materiales no originarios, siempre que resulten de un proceso de producción, realized° enteramente en el territorio de una o ambas Partes, de tal forma que las mercancias se clasifiquen en una partida diferente a las de dichos materiales, segtin el Sistema Armonizado vigente en cada pals; d) except° lo dispuesto en el literal 1) en el case que no puede cumplirse le establecido en el literal c) precedente, porque el proceso de producción no implica un cambio de partida en el Sistema Armonizado vigente en cada pals, bastara que el valor CIF puerto de destine o puerto maritime de los materiales de terceros 'Daises, no exceda el 50 % para Cuba y el 50% para Ecuador del valor FOB de los productos de que se trate; e) las mercanclas resultantes de operaciónes de ensamblaje o montaje realizadas en el territorio de las Partes, utilizando materiales de terceros paises, cuando el valor CIF puerto de destino o puerto maritime de esos materiales no exceda el 50 % para Cuba y el 50% para Ecuador del valor FOB de las mercancias de que se trate; las mercancias elaboradas utilizando materiales no originarios, siempre que resulten de un proceso de producción, realized° enteramente en el territorio de una o ambas Partes, de tal forma que las mercancias cumplan con los requisites especifcos establecidos por acuerdo entre las Partes. Dichos requisites prevaleceran sobre los criterios generales establecidos en los literales c) a e) del presente Articulo.",5 years,ITC00040,provided,included,included,materials only,included,13.03.2001,included (less than USD 1000),,,cross-cumulation,included,,,,,provided,,provided,not provided,,provided,build down,40,CTH or RVC 50%,provided,not included,,provided,,not included,,not provided,,included,"Bilateral, Country-Country"
,,included (15%),180 days,Partial scope agreement,,not included,Direct,included,not included,IN FORCE,authorized body,AAP.CE 47: Bolivia-Cuba,not included,included,provided,"c. las mercancias elaboradas utilizando materiales no originarios, siempre que resulten de un proceso de producciOn, realizado enteramente en el territorio de una o ambas Partes, de tal forma que las mercancias se clasifquen en una partida diferente a las de dichos materiales, segun el Sistema Armonizado vigente en cada pals; d. en el caso de que no se pueda cumplir con lo establecido en el parrafo anterior, porque el proceso de producción (excluyendo el ensamblaje) no implica un salto de particle en la Nomenclatura del Sistema Armonizado para todos los materiales no originarios, bastara que el valor CIF de los materiales no originarios no excedan el 50% del valor FOB de exportación del producto final para Cuba y 60% para Bolivia; e. las mercancias resultantes de operaciones de ensamblaje realizadas en el territorio de las Partes, siempre que el valor CIF puerto de destino de los materiales no originarios no exceda el 60% del valor FOB de exportación del producto final.",5 years,ITC00041,provided,included,included,not included,included (RVC 85%),27.09.2000,not included,,,cross-cumulation,included,,,,,provided,,provided,provided,,,not included,41,CTH or RVC 50% (Cuba) or RVC 40%,,included,,,,not included,,not provided,,included,"Bilateral, Country-Country"
,,included (10%),1 year,Partial scope agreement,,not included,Direct,included,within 1 year,IN FORCE,authorized body,AAP.CE 49: Colombia-Cuba,not included,not included,provided,Valor Contenido Regional 35%,5 years,ITC00043,provided,included,included,materials & final goods,included (RVC 85%),10.07.2001,not included,,,bilateral and full,included,,,,,provided,,provided,not provided,,provided,build down,43,RVC 35%,provided,included,,provided,,not included,,not provided,,included,"Bilateral, Country-Country"
,,not included,180 days,Partial scope agreement,,not included,Indirect,not included,not included,IN FORCE,authorized body,AAP.CE 50: Cuba-Peru,not included,not included,not provided,"c) Las mercancías elaboradas en sus territorios utilizando materiales de países no participantes en el acuerdo, siempre que resulten de un proceso de transformación realizado en alguno de los países participantes que les confiera una nueva individualidad caracterizada por el hecho de quedar clasificadas en la NALADISA en partida diferente a la de dichos materiales.d) Las mercancías que resulten de operaciones de ensamble o montaje, realizadas en el territorio de un país participante utilizando materiales originarios de los países participantes del acuerdo y de terceros países, cuando el valor CIF puerto de destino o CIF puerto marítimo de los materiales originarios de terceros países no exceda del 50 (cincuenta) por ciento del valor FOB de exportación de tales mercancías.",not provided,ITC00044,provided,included,not included,not included,not included,09.03.2001,not included,,,bilateral,not included,,,,,not provided,,not provided,not provided,,provided,included,44,CTH or RVC 50%,provided,not included,,not provided,,not included,,not provided,,included,"Bilateral, Country-Country"
,,included (10%),180 days,Partial scope agreement,,not included,Indirect,included,within 60 days,IN FORCE,authorized body,AAP.CE 51: Cuba-Mexico,included,included,not provided,"c) con excepción de las mercancías a que se refiere el literal e), las mercancías elaboradas utilizando materiales no originarios, siempre que resulten de un proceso de producción, realizado enteramente en el territorio de una o ambas Partes, de tal forma que la mercancía se clasifique en una partida diferente a las de dichos materiales, según el Sistema Armonizado; d) con excepción de las mercancías a que se refiere el literal e), en el caso que no pueda cumplirse lo establecido en el literal c) precedente, porque el proceso de producción no implica un cambio de partida en el Sistema Armonizado, la mercancía producida enteramente en el territorio de una o ambas Partes que cumpla con un valor de contenido;",5 years,ITC00045,provided,included,not included,not included,included (RVC 90%),28.02.2001,not included,,,bilateral,included,,,,,not provided,,provided,not provided,,provided,included,45,CTH or RVC 50%,provided,not included,,not provided,15%,included,,not provided,,included,"Bilateral, Country-Country"
,,not included,180 days,Partial scope agreement,,not included,Indirect,not included,not included,IN FORCE,authorized body,AAP.CE 52: Cuba-Paraguay,not included,not included,not provided,"c) Las mercancías elaboradas en sus territorios utilizando materiales de países no participantes en el acuerdo, siempre que resulten de un proceso de transformación realizado en alguno de los países participantes que les confiera una nueva individualidad caracterizada por el hecho de quedar clasificadas en la NALADISA en partida diferente a la de dichos materiales.d) Las mercancías que resulten de operaciones de ensamble o montaje, realizadas en el territorio de un país participante utilizando materiales originarios de los países participantes del acuerdo y de terceros países, cuando el valor CIF puerto de destino o CIF puerto marítimo de los materiales originarios de terceros países no exceda del 50 (cincuenta) por ciento del valor FOB de exportación de tales mercancías.",not provided,ITC00046,provided,included,not included,not included,not included,25.04.2001,not included,,,bilateral,not included,,,,,not provided,,not provided,not provided,,provided,included,46,CTH or RVC 50%,provided,not included,,not provided,,not included,,not provided,,included,"Bilateral, Country-Country"
